"","Var1","Var2","id_1","id_2","name_1","name_2","Species_1","Species_2","dyad_id","overlap","year","Month","YearMon","season","label","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","dyad_species","Month_categorical","Year_categorical","average_rainfall","overlap_binary","threeseason","fourseason","Month_factor"
"1","Bobedi","Goose1","Bobedi","Goose","Dog 7","Leopard 3","Dog","Leopard","Bobedi-Goose",0,2011,12,"2011-12","Wet","2012 Wet 1",1.49,1.19,1.23,1.46,1.25,202.5,286.5,294.5,1700.25,940.75,"Dog-Leopard","Dec","2011",126.070769230769,0,"Wet","Hot Wet","12"
"2","Bobedi","SaF03_1","Bobedi","SaF03","Dog 7","Lion 10","Dog","Lion","Bobedi-SaF03",0.0400552804753877,2011,12,"2011-12","Wet","2012 Wet 1",1.49,1.19,1.23,1.46,1.25,202.5,286.5,294.5,1700.25,940.75,"Dog-Lion","Dec","2011",126.070769230769,1,"Wet","Hot Wet","12"
"3","Bobedi","Priya2","Bobedi","Priya","Dog 7","Cheetah 4","Dog","Cheetah","Bobedi-Priya",0,2011,12,"2011-12","Wet","2012 Wet 1",1.49,1.19,1.23,1.46,1.25,202.5,286.5,294.5,1700.25,940.75,"Cheetah-Dog","Dec","2011",126.070769230769,0,"Wet","Hot Wet","12"
"4","Bobedi","Chalak","Bobedi","Chalak","Dog 7","Leopard 1","Dog","Leopard","Bobedi-Chalak",0,2011,12,"2011-12","Wet","2012 Wet 1",1.49,1.19,1.23,1.46,1.25,202.5,286.5,294.5,1700.25,940.75,"Dog-Leopard","Dec","2011",126.070769230769,0,"Wet","Hot Wet","12"
"5","Chalak","Jesus","Chalak","Jesus","Leopard 1","Dog 15","Leopard","Dog","Chalak-Jesus",0,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Leopard","Apr","2012",30.75,0,"Cold Dry","Cold Wet","4"
"6","Chalak","Yolo1","Chalak","Yolo","Leopard 1","Dog 29","Leopard","Dog","Chalak-Yolo",0.181612942617602,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Leopard","Apr","2012",30.75,1,"Cold Dry","Cold Wet","4"
"7","Chalak","Priya2","Chalak","Priya","Leopard 1","Cheetah 4","Leopard","Cheetah","Chalak-Priya",0.236899229958546,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Cheetah-Leopard","Apr","2012",30.75,1,"Cold Dry","Cold Wet","4"
"8","Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.09191810022047,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Leopard-Lion","Apr","2012",30.75,1,"Cold Dry","Cold Wet","4"
"9","Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.319095548172104,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Leopard-Lion","Apr","2012",30.75,1,"Cold Dry","Cold Wet","4"
"10","Goose1","Yolo1","Goose","Yolo","Leopard 3","Dog 29","Leopard","Dog","Goose-Yolo",0.413730652090489,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Leopard","Apr","2012",30.75,1,"Cold Dry","Cold Wet","4"
